;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;MUNICIPIO;PAIS;PAIS_NACIMIENTO;SEXO_VICTIMA;CANTIDAD POBLACIONAL;ZONA PREDOMINANTE
0;2010;2010;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
1;2011;2011;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
2;2011;2011;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
3;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
4;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
5;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
6;2013;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
7;2013;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;CARTAGENA;Colombia;Colombia;;2219461;URBANO
8;2014;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BUCARAMANGA;Colombia;Colombia;;2110608;URBANO
9;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
10;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
11;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
12;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
13;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
14;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
15;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
16;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
17;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;SANTANDER DE QUILICHAO;Colombia;Colombia;FEMENINO;1437141;RURAL
18;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;MONTELÍBANO;Colombia;Colombia;FEMENINO;1838574;URBANO
19;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;INFANCIA 6 - 11;SI;SI;NO;SAN CARLOS DE GUAROA;Colombia;Colombia;FEMENINO;1053871;URBANO
